Genre,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Action,0.34,15.18,21.7,24.56,26.41,29.93,43.67,44.79,46.54,51.18,57.57,64.33,68.16,69.97,71.52,75.09,95.67000000000002,123.25000000000001,162.69000000000003,190.47000000000003,224.51000000000005,283.90000000000003,370.66999999999996,438.59999999999997,514.8599999999999,600.55,667.13,773.6300000000001,910.0200000000001,1049.38,1167.02,1285.98,1407.9899999999998,1533.2099999999998,1632.2299999999998,1702.9299999999998,1722.83,1722.84,
Adventure,,,,0.4,,,,4.78,,,,7.0200000000000005,19.259999999999998,19.33,23.07,23.79,27.979999999999997,32.94,41.989999999999995,49.589999999999996,52.56999999999999,61.68999999999999,72.74,74.88,83.38999999999999,91.91999999999999,103.38999999999997,127.86,152.88000000000002,173.56000000000006,190.13000000000005,206.11000000000004,212.10000000000005,218.71000000000004,224.77000000000004,232.80000000000004,234.59000000000003,,
Fighting,0.77,,,,,1.82,,7.24,,,,7.63,22.88,31.630000000000003,40.1,54.95,73.01000000000002,84.77000000000002,116.43000000000004,130.69000000000003,150.91000000000003,169.03000000000003,194.05000000000004,217.78000000000003,234.56000000000003,254.28000000000003,276.83000000000004,294.44000000000005,329.82000000000005,361.97,376.86,399.54,409.05,416.26,432.40999999999997,440.18999999999994,444.04999999999995,,
Misc,2.71,,3.58,5.720000000000001,7.170000000000001,,,,,8.450000000000001,,8.530000000000001,13.47,13.770000000000001,16.630000000000003,23.03,33.709999999999994,39.39999999999999,51.339999999999996,71.99,87.53,103.93,119.60000000000001,143.42000000000002,169.63,229.44,296.78999999999996,387.84999999999997,474.88,551.82,648.6800000000001,704.7600000000001,727.6800000000001,753.33,777.0100000000001,788.7,789.87,,
Pltform,,6.93,11.96,18.89,19.580000000000002,62.75,72.14,73.88,101.61,122.27000000000001,145.24,152.88,166.29999999999998,184.96999999999997,213.70999999999998,230.39999999999998,258.63,280.48,310.36,331.18,347.24,386.52,432.49,475.38,522.72,546.28,596.0799999999999,631.67,667.37,708.46,740.36,768.47,787.0,812.12,821.01,827.06,829.13,,
Puzzle,,2.2399999999999998,12.27,13.049999999999999,16.189999999999998,19.4,,,24.979999999999997,62.73,68.72999999999999,71.96999999999998,76.80999999999999,79.97999999999999,81.50999999999999,84.21999999999998,88.12999999999998,94.01999999999998,100.35999999999999,101.71999999999998,105.53999999999998,113.53999999999998,118.87999999999998,121.29999999999998,129.73,150.17999999999998,161.07999999999998,185.07999999999998,200.67,220.98,232.15999999999997,237.26999999999995,239.02999999999994,240.01999999999995,241.50999999999996,242.20999999999995,,,
Racing,,0.48,2.05,,7.999999999999999,,9.959999999999999,,12.1,,18.36,19.5,28.54,28.9,31.089999999999996,37.17999999999999,65.41999999999999,97.32999999999998,125.22999999999998,162.49999999999997,182.48999999999998,238.29999999999998,268.5,320.69000000000005,368.55000000000007,424.9700000000001,459.0600000000001,498.23000000000013,568.8900000000001,603.0800000000002,638.0100000000001,673.0100000000001,687.4700000000001,700.5100000000001,717.2000000000002,725.1200000000001,726.7600000000001,,
Role_Playing,,,,,,,2.52,7.17,13.05,15.25,19.77,23.02,29.88,35.47,42.58,56.84,100.80000000000001,122.59,150.68,199.77,228.8,250.86,295.99,326.27,380.21999999999997,408.77,466.5,510.39000000000004,570.2200000000001,618.1200000000001,688.6400000000001,742.0100000000001,789.8200000000002,834.7400000000002,880.5900000000003,917.0300000000002,923.7900000000002,923.8300000000002,
Shooter,7.069999999999999,17.11,20.9,21.38,52.48,53.48,57.37,58.08,58.589999999999996,59.79,,61.79,62.08,65.16,73.46,77.61,84.52,106.69,116.49,128.73999999999998,135.54999999999998,160.32,208.89999999999998,236.04,282.99,324.59000000000003,362.9600000000001,434.0000000000001,493.5100000000001,563.4000000000001,640.8100000000001,740.1700000000001,813.0300000000001,875.83,941.83,1007.98,1026.2,,
Simulation,,0.45,,,,0.48,,,0.51,,1.65,3.79,5.93,6.12,8.85,13.03,24.360000000000003,34.010000000000005,41.120000000000005,52.56,55.94,75.47999999999999,86.28999999999999,107.5,118.35,167.62000000000003,189.39000000000004,238.36000000000007,285.12000000000006,318.8300000000001,340.8200000000001,356.0800000000001,369.4600000000001,378.1300000000001,383.6800000000001,389.3000000000001,389.6900000000001,,389.98000000000013
Sports,0.49,1.2799999999999998,2.33,5.53,11.71,13.670000000000002,19.240000000000002,22.96,26.560000000000002,32.28,34.39,36.8,39.75,42.93,51.32,59.300000000000004,76.75000000000001,106.77000000000001,148.56000000000003,178.85000000000002,220.04000000000002,271.47,336.89,393.0,456.68,516.22,652.3800000000001,750.5800000000002,845.9200000000001,984.4400000000002,1076.9700000000003,1133.9600000000003,1164.8900000000003,1206.4400000000003,1253.1000000000004,1294.6400000000003,1309.2400000000002,,
Strategy,,,,,,,,,,,,0.94,1.2999999999999998,2.11,5.67,12.18,17.79,25.5,38.97,57.43000000000001,65.93,73.48,79.04,87.03,94.22,99.59,103.86,113.27999999999999,124.96999999999998,137.52999999999997,151.39999999999995,160.29999999999995,163.62999999999997,169.95999999999998,170.95,172.76999999999998,173.26999999999998,,
